Overall,value,room,location,cleanliness,checkin,service,business,review
2,2,0,2,1,2,2,-1,"great location , room could have be better great staff and wonderful location .only complaint be that the room be the size of a closet .apparently , most of the room in the hotel have be renovate ... ours be not ."
1,1,0,2,2,2,2,2,"good hotel in nice location with thin wall .my wife and i just return from a trip to italy .we stay in this hotel for two nights.we book this hotel for the good review in tripavisor and in general it be what we expected.the hotel be located in a nice and quiet district away from the expensive and crowded area , just a few minute walk from the train station .the room be beautifully decorate clean and spacious , breakfast in bed be good .the staff be friendly and helpful.this hotel have , in my opinion , a major thin wall problem , we could actually hear the conversation in the next room .surprisingly no one mention it before .may be we just get the one bad room ."
2,1,2,2,2,1,2,1,"awesome !my occupation have I travel every week .therefore , i stay in a different hotel every week .this be a awesome property !it offer spacious room , luxurious bedding bath linen , huge bathroom , friendly staff , and wonderful view .again , i travel every week and wish all hotel be like this one !!!"
0,0,0,2,1,0,0,1,"disappointing ... .i be disapoint at several things.this hotel have a great location but lot of buts.firstly , it be hugely overprice for what you get .i have a deluxe double room on the 6th floor .it be tiny .there be minimal space to walk around the bed .there be no tea/coffee make facilitis in the room .the shower be nice , but no bath and frankly i would have love a relaxing bath.the hotel have a roof top bar which have a private party while i be there and consequently unavailable to the guest , and the noise be just awful.there be no breakfast include in the room tariff , and breakfast be 30 euro per person on the menu card.concierge be less than helpfull .before my trip i email the hotel to ask if they pick up they guest , i be tell yes , but not tell that this be at a extortionate rate .on the last day , i discover the charge be 113 euro !!!!!!!!!a taxi on the way back be 38 euros.i would not return , and would recommend stay elsewhere.conclusion - great location , overprice , unhelpful staff ."
1,1,2,-1,2,-1,0,-1,"very good hotel bbut stay at the hotel for 5 night in feb 2005 .very stylish although small and very clean .room good but again very small .a way out of town and right on the sea front so quiet .nearest metro station about ten min walk and taxi back to hotel from centre of town about 10 euro .make sure you know where hotel be as no taxi driver seem to know !!!all in all a good stay and reasonable value for money .not quite sure how it get a 4 * rating.butrestauarant apalling , no atmosphere , staff lack in attention to detail and level of service .food available past 10 be for breakfast virtually choiceless , particularly at weekend , even though serve -lrb- sorry available -rrb- till 10.30 .-lrb- get down early -rrb- .very impersonal ambience in a evening.only two english -lrb- both news -rrb- channel available on satellite tv ."
0,0,1,2,1,2,2,0,"mixed review i stay at the hyatt for a conference .the conference rate offer to the attendee be the same as the regular rate post on the hotel website , which i find a little odd .the hotel be in a great location , convenient to bart and right on the embarcadero .the ferry building -lrb- across the street -rrb- be a fantastic place with wonderful restaurant and shop - we eat there several time during the conference .we also be lucky to have wonderful weather , and it be great to be able to stroll out of the hotel for a nice walk along the bay.the hotel be nice , but not outstanding .my room have a bay view -lrb- i pay for the upgrade -rrb- and a balcony , which be nice - beautiful morning view of the pier .the weird thing be , if you sit on the -lrb- very comfortable -rrb- balcony furniture , you can not see anything because the concrete railing be tall and thick .the room , as note in other review , be nice , but kind of basic .very nice bed and bedding , and very comfy desk chair , but the bathroom be kind of vintage , and the lighting over the bathroom sink be pretty bad .my room also have stud on the wall where apparently a frame picture once be ; give the room a half-finished look .the temperature control in the room be inefficient ; there be one vent near the ceiling that push air in the general direction of the tv ; take a while to cool or warm the room , which be a problem as the large balcony door/window mean it be a bit drafty .also , in my bathtub , the shower faucet be loose enough that it would not stay put at the choose temperature ; the handle would just slowly sink until the water be scalding .i solve it by wedge a cardboard coffee cup sleeve -lrb- from the coffee service -rrb- between the handle and the rest of the fixture to stop the thing from slide down , but sheesh.i do not eat in the hotel , as there be so many other -lrb- less-expensive -rrb- option in the area .you have to pay $ 10 daily for internet , which always annoy I in hotel , especially those with rate like the hyatt 's .housekeeping also be very late the first day i be there -lrb- i.e. , return to a still un-cleaned room at 4:30 pm -rrb- .it be subsequently clean earlier -lrb- not sure if that have to do with the fact that i leave a daily tip with a thank you note -rrb- .housekeeping staff i pass in the hallway be unfailingly friendly and courteous.i can not recommend the hyatt for people who be expect true 4 or 5 star accommodation , although the location be great and the staff be good ."
0,0,2,2,2,2,0,-1,"nice , clean the hotel be really good , clean room and food be finewe didnt be in the hotel so much but in the last night someone steal we celluar phone from the room.the worker didnt help we at all .sure we go to the police but its really disappoint we because it be steal from we own room !"
0,1,0,2,0,2,2,1,"wonderful staff at the front desk , but not optimally clean and noisy .i stay for a conference trust the fact that it be related to the hilton line .the people at the front desk be wonderful , polite , helpful , really nice consistently .my trip back to the airport be a breeze since they arrange everything on time , with a good company .the furniture be nice and practical , but the hallway smell terrible .the room be not clean optimally and inconsistently thing like soap , coffee etc be replace .the room have a small kitchen and all the appropriate appliance , which i think it be a plus , but the room itself be somewhat crowded.the room be on top of a busy highway that would not stop all night long .i could not sleep at peace ."
0,0,1,-1,0,-1,0,-1,bad experience rough personnel and dirty bathroom !
2,2,2,-1,1,-1,1,-1,"good value for the price just get back for a one-night stay at this hotel .hope to stay for two more night but they be fully book for the weekend .i usually travel by myself and book single room only , most of the time end up with a room the size of a big walk-in closet .this hotel have a single room rate but you get a good size double room .this be the best deal i find so far in amsterdam for a single traveler who want a good size room , with private bathroom facility , at a good location in centrum .i use to like rho hotel for the same quality -lrb- location , price , breakfast -rrb- , but the single room deal in hotel prin hendrik be far better .the only compliant i have there be no in-room safe ."
